icao,arrival_time_local,arrival_terminal,departure_city,departure_time_local,airline,flight_number
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDB,2023-02-11 21:20:00+00:00,0,Treviso,2023-02-11 19:50:00+00:00,Ryanair,FR 4721
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 10:40:00+00:00,1,Helsinki,2023-02-11 08:35:00+00:00,Finnair,AY 1423
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
EDDH,2023-02-11 19:05:00+00:00,2,Frankfurt-am-Main,2023-02-11 18:00:00+00:00,Lufthansa,LH 30
